IDLink,SentimentTitle,SentimentHeadline
tFrqIR6Chj,0.1645407,-0.062669754
DVAaGErjlF,-0.16523215,0.006698154
OT9UIZm5M2,0.01819759,-0.09969185
lflGp3q2Fj,-0.19016697,-0.103101924
zDYG0SoovZ,-0.0322816,0.10264273
xwr9uOYgEj,-0.0014566774,0.11025019
X8BqN4I4xZ,-0.002001169,0.10517648
ESXBINkNt4,0.09523466,0.010431502
uUjZusP8FU,-0.061593376,0.084612116
VIxYwukhvK,0.08570647,-0.009368066
l3Dpj2u50Q,-0.008198205,-0.018577829
jfyxBOF13g,0.019626586,0.010597147
IYcbOcTf6P,-0.11910522,-0.071302466
hTe22HCWtU,-0.012053424,-0.055527575
FqhiT2wNpN,0.004283363,-0.023327086
CjvbpYX11C,-0.014284829,0.10262111
JQWiOBrh9Z,0.063871056,-0.06939174
pWqQHVfXv3,-0.0033409381,-0.14781712
PuMC340lVv,-0.17128803,-0.098836705
Gu0df3QxHX,-0.14613879,-0.030810673
buyxHRAB2O,-0.07136047,0.060716186
BhOcTD5Su2,0.058616746,-0.023199417
eLjGHMUAdd,0.19262283,0.1973226
lvvPy5NP6d,0.0010306621,-0.13343965
cyDWoQL2lO,-0.06911217,0.010570142
NSq5fdSi1G,-0.00087202294,-0.07837154
85qWIc2blh,-0.042773284,-0.058656164
golUOJ8mlJ,-0.0050022285,0.077253565
ENZFgK1N2B,-0.16382076,-0.028425714
3UlWbFDlN3,0.02651009,-0.023527903
B66KUMjyM6,0.02169299,-0.11203024
XUOaACxkex,-0.1590948,-0.084056005
90LQYGOLJe,0.0051850714,0.056294832
66u6kjadpY,-0.022209387,-0.13850829
qG3hUONMbq,-0.0046646837,0.06298624
Cfxeb52jkH,0.019540071,-0.02093869
qKSt9gOTzv,-0.017533585,0.0105293505
MVaKNVVTfV,-0.0022061586,-0.14667372
AiSOqy1D6E,-0.007564523,-0.09864947
h3YeKl4iEa,-0.017162023,-0.1532604
qH75SbjLV5,-0.23802505,-0.028818568
8tMtfUiIvY,-0.013687594,-0.03875559
lRECMiFvsF,-0.0067031905,0.13136424
2Jv7ADWzps,0.006503757,-0.05035965
RXHuXSKdN1,0.022318698,0.1306536
72eBI05rkC,0.040379535,-0.07324033
aZAL2OUopN,0.05824287,-0.0029879045
SrQmSub7Su,0.16375707,0.020618115
jGl5QVFq62,-0.18245101,-0.04170475
gNFOSMIprN,-0.030036116,-0.11167762
z1FwdySC8b,0.018417062,-0.05232086
NUixgOQ2Ds,0.07466005,-0.19034095
kVzfO1qEF6,-0.0028427492,-0.15880284
JqWJong3uG,0.13921764,0.02833132
oOFTvBzN9n,-0.19383097,-0.0697987
KqhQzWHMkP,-0.012662317,-0.06223374
EHNlCODnUb,-0.016726322,-0.07850875
utdMIMlFt6,-0.01095017,0.059936177
reov8NCxVE,-0.11467908,0.008508734
IjgEHgi6C0,0.24014243,-0.010752078
PPA17wNSo4,-0.208498,-0.07251755
kDcqBZfL6Z,0.0043252967,0.059406284
5vrwpTkFX0,0.020922983,-0.075064376
e1Am2LcL6q,-0.069537744,-0.036535457
BCW4uDI79i,0.0032587065,0.107700616
GhsAvQxufi,0.010127643,0.07759403
TUXlr8j0Jf,-0.18429309,-0.09604551
F6Kurxkhsb,-0.012514369,-0.024174538
pu7m9l8IdZ,-0.049289756,-0.06217787
NtSa3fslCm,0.01925651,0.04143392
ADOyfjBWka,-0.07558097,-0.15499887
WeHmCsxgjd,0.11837378,-0.022109017
xTSrOtLZ4q,0.25890246,-0.05216136
MYH193fCKu,0.011489877,0.019218631
u1y4r8TwIU,-0.27891076,-0.20111343
g4tFzvqcI5,0.048300058,0.002197681
j513X7mPrJ,-0.21774931,0.16513224
amshiZe6UY,-0.057292413,0.11471313
tgkeH242IX,0.00093362946,0.030155394
nXPSgZYl9a,0.0007494679,-0.02226657
kpLPkLUhyO,-0.19469097,-0.02595292
4ktjkm3BNk,0.19108166,-0.04858829
RTyrdJQ8Dp,-0.12394838,0.008970998
CtG8GweoIq,0.020743066,0.06663151
L00akWwk2x,-0.00069480157,-0.021946326
LXyTK4jVyA,0.07769428,0.037880983
UnXhPiKpzD,-0.025034549,0.03710744
DGNEQufSrb,-0.06670402,-0.04112779
zOPdNMW9uC,0.0059138015,0.010854613
yHBHcgAO8N,0.22029929,-0.14504625
xyU9kiwWzl,0.20329227,0.06599656
jZy8EjJOi5,-0.20079133,-0.050150927
3vijCSykZr,0.17026207,0.012020979
wStjauGkW0,-0.013875307,-0.0044148136
7QoNAvMsTn,-0.015656061,0.005721193
N1NxBOTzKi,0.044973575,-0.09493886
nZ1IOjSdX7,0.06473215,0.005332269
BGvgVb2nDS,-0.096765995,-0.028321007
zIFz5L7kIi,-0.10602389,-0.11925402
tHvqpzKhvW,0.005891377,0.06548445
sKK9ufsJu4,0.00736825,-0.02681206
h17Y5wYLUn,0.061782014,0.1252185
NORFZleWew,0.2579875,-0.044185024
9b7ebNWMrL,-0.0067716967,-0.058730014
0wkZI3AtiF,0.03440981,-0.27964398
dzGkGtpvn5,-0.08177593,-0.0492656
5vLx92dYUQ,0.044973575,-0.102415726
irmnquODRc,-0.18166989,0.153661
bIemEY29YW,-0.107902676,0.07509181
swbl6Zw1pp,-0.024172202,-0.16648714
GTmEYY8eNn,-0.13675351,-0.112296104
Q4NRtcRi7U,0.01008138,-0.028761527
cOLQnQtHOw,-0.06129052,0.11384426
sQj3IZFgiJ,0.24850987,-0.15830341
Q4kqirCmVk,-0.035822343,-0.036151
OzNPINYjW8,0.015859105,0.036817487
YPT11fE9jW,0.013970356,0.0022224635
6Y5eHAo9mi,0.0076272106,0.18321353
LWAiHRen4A,-0.011375045,-0.043893773
cXs2WsDsZs,0.08101848,0.010945782
JRGyEYK1qR,-0.016815094,0.016582888
pscU1VfZmn,-0.017202077,0.051212955
e5kAtxV6y6,-0.0037219324,0.015118826
ngDdeCUV6a,-0.04041551,-0.013496558
2DzN9LsPHh,-0.028060688,0.029790666
X9CsGVrY1Z,-0.14501345,-0.21853219
hWN86xaIMQ,0.0021722899,-0.09499323
lqz7qAtAN4,0.019063123,0.012020476
CQjSgOM2jK,0.019121213,-0.0032320824
WobbaGvRfu,0.1275046,-0.054305386
hwMCvUGPUL,-0.002946079,0.018220626
u2BIxtNi9i,0.14747392,0.043002408
E3NfFvOauk,-0.0010490152,-0.06523971
ani3ifFzdd,-0.008462328,-0.09959054
aCHYrPldp8,0.0140173435,0.088505596
avJJQp0YSB,0.26149315,-0.029731577
T0PEWKKN3O,0.26375428,-0.031856906
INtssIfcnc,-0.071333796,-0.12275778
3SPnYFulNh,-0.0015753284,-0.051902637
MZ2cm5gdrg,-0.1272629,0.0121640265
daxkkMq6i9,0.25489613,-0.033447266
bxBlOnQCpz,-0.10093427,-0.01892766
DOJNka3ObI,0.007355308,-0.12898941
OinulvW3Sz,-0.12320571,0.042874943
gXvoVOmBsS,0.027589675,-0.036278617
m7nDReJLOi,-0.11602971,-0.10770373
VW5Ydtr6Ye,-0.016216438,-0.039717257
SaXWh1kTni,0.010110804,0.014026344
mWx5SV05li,-0.053131934,-0.18467648
uIUE3if0cq,0.018523479,-0.022193149
LVCtl0wN2R,-0.04904647,-0.08125825
im3BtCOYPf,-0.17102133,-0.16043827
7XN3AlgNMl,-0.028990934,0.006624777
CMseQ3X2nX,-0.14848046,-0.0014251918
3rT5KAbl71,-0.1659928,-0.14675955
J4BicMNrhF,0.0322571,-0.053251572
ycvH9It0sO,-0.086144686,-0.30873019
Rl4LUp69w7,-0.17619264,0.09137559
re0L8pWbak,-0.005740609,0.0037917942
wIor1QhQNC,0.26343966,-0.17094082
S98p53dtPC,-0.023160681,-0.19781244
TBxoloxM7r,0.03485491,-0.029884474
SgKzR6x82M,0.06876698,-0.12958702
26cHGinB7q,0.00834821,0.0456171
BI4bcoaUkC,-0.07411645,-0.13569155
YIjsSIAPN2,0.013181627,-0.038728595
eWEE7x7IFu,-0.0011252724,0.005779635
4OgN2Eiix0,-0.21973902,-0.06786464
7EasNkNv7Y,-0.07031071,0.06887576
CgxHF8bNGu,-0.030501973,0.1012778
CAAJwvX62W,-0.032780707,-0.03401362
FOVHaR90ON,-0.19964318,-0.091349885
Fh3E1yM5P3,-0.11913891,0.004585985
XatCGZUXKP,-0.0035811083,-0.039673723
AwGSwzxluE,-0.008232568,-0.16343904
ruPrGBEkYP,0.00020265114,-0.12884547
IMnMFQkENJ,0.013952695,-0.0843018
tRNN8oaHBx,0.0057836827,-0.088523194
8NRKoTDhFp,-0.11332311,0.032506544
bofTLzQkUE,0.016992882,-0.039903328
74vMDf4co4,-0.08438116,-0.028484507
U6kZpaRFMf,-0.05029883,-0.025602505
BcqYTxDGs7,-0.21699508,-0.07311913
SUB3B1Beed,-0.036172874,-0.15705687
JEFDoD3FY1,-0.10391246,-0.21962163
PYfNcILRTJ,0.012946418,-0.06573023
OQdjGTnYfU,0.014524024,-0.029336188
zzzL6N4Bks,-0.0026319744,0.013785448
BOuQEqffJs,0.01598018,-0.27412397
xzEHn2cH93,0.015780114,-0.02151526
yQSGXrtYRe,-0.018170143,-0.040635884
WeZxXJDXzm,-0.19539987,0.039606813
gQakgdMVmJ,-0.0014637515,-0.05387146
k7spceAiOT,-0.102704614,-0.031672474
3CsvLo0Nzo,-0.0912838,-0.13778698
o9Vnj0Ajam,0.010205481,-0.09591077
fInKy7OLAU,-0.10192673,0.020126991
936BjW6DEB,0.046294898,-0.049451455
zL7P81XYKu,-0.03812032,0.05135959
Swi01c205I,0.0026240717,0.15477319
Kunx7Xr3J5,0.019115979,-0.14395133
5LqeEDKdJL,-0.008779434,-0.25881505
lFaOE6bcpW,-0.10802527,-0.2375322
S4BLj7nGkc,-0.041006103,-0.10360968
dVBb2XcZM4,0.034335054,0.06508912
KtoKfinU4O,-0.009201448,-0.03381699
M31rsR1KNc,0.025312033,0.07760437
6EnfIIM2XK,-0.19585657,0.03007527
zNYo1bsNT3,-0.0072007785,-0.008806566
sGPC8tDoT8,-0.020890916,-0.05582219
joSF2RcStD,-0.033254407,0.09216784
AOpROUrdGN,-0.07935111,-0.07499496
7L4weTKRvz,0.018264482,-0.1894026
g9gQ0rpvaY,0.0013146512,-0.0005885232
6cJNqA5oyN,0.004583571,-0.0832007
C506mQoP4r,0.00044342503,0.18405186
umBGDhHbvu,0.056364164,0.13222961
yAClQWljPW,-0.04612607,-0.042134423
2y0Q8GMrnb,-0.16235813,0.14555617
fSdwkkK3js,-0.03205399,-0.07219109
c85emcNhZQ,-0.0038449338,-0.11828989
LROYeysdhp,0.05349843,-0.049762048
ENh9UScBbT,0.044424884,0.059409697
vpIbfKtwMY,-0.057981838,-0.11433129
aBSlUKj11N,-0.0054729637,0.00891922
CDFce5bPPy,-0.0909823,-0.0074150953
RY58DtRuj9,-0.016074613,-0.08730823
s7mvmZRbw1,-0.048404545,-0.034675542
fXr7JvMFXj,-0.057255182,-0.06634256
qi3544qZjC,0.018873038,-0.19133899
tUfnvm1MEw,0.079485625,-0.109013066
h9qTYZoeSX,0.028909147,-0.14800598
C9QEGld9kY,0.0049814964,0.01605732
A9EhIuMCFO,-0.0073672626,-0.057842705
kXadMWThhc,-0.19005817,0.051759493
y2ufKr8yVQ,-0.006591819,-0.17539251
2dLJv6FNBj,-0.05792448,-0.099898785
JRmR8cGyuT,0.0072481697,-0.19106404
YTX3DqVhO8,0.0022166884,-0.18854381
ilh5loOJuB,-0.09852141,0.10644199
r5bvylrfVI,0.005283434,-0.20613457
GlynezvHJG,-0.025744196,-0.0731549
g91vPgHPNt,0.15896977,-0.13905808
7yYpEYfBPC,0.0102453325,-0.015687034
4yk2AjXE2t,0.2125068,-0.1534825
UzztQ903t0,-0.07891333,-0.17487735
8qV0QIYY5k,-0.06063722,0.24690068
0xQ5PJaCzC,0.017306715,-0.062284898
BfSKUGum9d,-0.097968474,-0.030058352
is5GXbFqzU,-0.06623848,-0.038503468
2lFQejjGWU,0.039409686,-0.122821644
CPCFQToMf6,0.06703694,-0.0058693644
9aDFroDOAG,0.0014732797,-0.055643518
l7GOUOBvTX,-0.10801296,-0.0055335406
tSk9DSLOfu,-0.031080352,0.056184035
JIYg04sJzA,0.08396272,-0.006038964
nBQs3wwemE,0.02267413,-0.12170535
5enRb6ExSY,0.008846814,-0.12288056
9PfQFI4AQF,0.0129514225,0.025824543
NjFv5IzSEQ,-0.020808442,-0.15123133
NnFmz3LMZ6,-0.06406167,-0.06700896
mzNB5NGy71,0.023713676,-0.011982223
kleI5cZKDs,0.02448535,-0.14064588
muRjamql8u,0.020744951,0.09674634
yUWKWMjQKw,0.004371656,-0.19079117
aFSc0W07SH,0.19081755,0.06990576
cuu4arivmX,0.06933978,0.1784879
aa3ShGYCzr,-0.10394266,-0.12285447
3u9q06UBAP,-0.17162319,-0.07512337
MajucQGZp8,0.043566395,-0.05164536
mBDEVSUcRn,-0.016958002,-0.18709366
KFRLpHRLQ6,-0.010199853,0.07885952
knxvu99mwo,-0.18680884,-0.19748473
Ra73vKvfFg,-0.04767535,-0.016130164
6mXl1ovnlf,-0.010561289,-0.021066105
KqbNDpKRdD,0.16932179,-0.063687764
GLydVx0Ymh,-0.11867674,-0.115366325
1i8fYBKH2a,0.17024896,-0.044546444
AD2ie3x2bS,0.030322686,0.16150148
HLJv6HLvKo,-0.12859146,-0.12577063
YwTUW2xngC,-0.06589267,-0.19686961
V9r81ufShy,-0.0145900315,-0.18456866
X53M7yEfNF,-0.22450219,-0.13547127
XkpvYZvHhr,-0.090491176,-0.009882823
7X0WxaMCjR,-0.038513403,-0.11053641
t1QAq3AMAy,-0.093108505,-0.1369583
CmOlykSLCh,-0.12004143,-0.024108892
0AlwOogyqi,0.015973771,-0.12393212
wkHKTPOXkr,-0.044812147,-0.13313013
QSfjHlElNu,-0.16697347,-0.044853646
0pbE6dUb3n,-0.19495337,-0.09394625
srr1zfIWg9,-0.14346491,-0.075710446
539Mz31fbD,0.12577759,0.1408257
jOYwq1ch2U,0.03603756,-0.14669704
75EByZCZ6w,0.044007473,-0.03755912
iwml5iqGfg,-0.013421328,0.085756436
khOoYQDLyc,-0.007486609,0.08261372
7ijbPSYCGW,0.16038246,-0.03685466
hCgKLYy9BG,0.0008161785,-0.017563848
lTpjrI4nEX,0.040518917,-0.02820032
PERz7IzdQU,0.0501895,0.034333047
z95gQaFMxr,-0.0031989515,0.14972886
ACO02rwoEM,-0.008890994,0.07059452
9uNI7LFpYX,-0.013893668,-0.042212594
RLoZOvAES4,-0.030556249,-0.12377986
1Dc17L7UlF,-0.021643182,-0.0955684
CgjAxArwOf,-0.010865746,-0.1086479
wqttRE96uQ,0.07512376,-0.06972849
xdZ1YUmZps,-0.029114014,-0.085264005
OFAN8C5F8U,-0.017963696,-0.062785774
XmulXROhMR,0.055248514,0.16586356
cB8WBBECi9,0.016505344,-0.15205419
IKl67cvJBh,-0.011767551,-0.19051723
GxUnt9z0pW,0.022904389,0.013451297
C3ZFNCyEkO,-0.1079372,-0.071492195
k3pFQmH3a4,0.08625601,-0.06676455
eh4j7W6AVC,0.12070438,-0.0060584433
90DRL1kHgi,0.024593525,0.005038481
N1d1usvqUB,0.0052357735,-0.0059375092
1aVhzM9GSD,0.038022738,-0.14909707
etawTWzBf8,-0.15475734,-0.15309824
z1huXaTRkA,0.0321722,0.09547077
JT9B2mUWD1,0.0073137637,0.066134125
WCtURxqyhf,-0.09128487,-0.130158
R13vLT4Fbw,0.0062668817,0.08470672
KIX4CKJRv8,-0.10948999,0.06514916
evtUbpnV6G,-0.13569632,0.0011024419
16ly5uucBe,0.010897782,0.008096945
SUj0UaFaPS,0.032686856,0.059967775
lRPNjTulxk,0.004524041,-0.049108706
Xj4YT7lovP,0.13744648,-8.159131e-05
xQF0TkyPLI,-0.15795113,-0.034124926
23goVd7Ltt,0.0088121565,0.026736017
AVIuLTHBkR,-0.08115102,-0.16908398
ZEyi580mTN,-0.15703018,-0.017584268
PLEw3lxlsR,0.013524264,-0.24376988
haNqwNTkwO,0.17713216,-0.009681825
KU1HSvZBBs,0.09790298,0.0033832416
AWadOYfoAF,0.012927676,0.03451507
uaHFlWZkav,0.030574188,-0.032948237
y4SiUlskF3,-0.008630596,0.06329508
L6A670hv9J,-0.015111977,-0.0382229
jA7EVDQ8R3,0.0009394195,-0.018153772
fKqK34kbKi,0.0037188288,0.07904208
MpY2vEw3dK,-0.045684885,-0.025002915
b6iEZ3oVvu,-0.065224394,-0.09684004
cFpvsyY4Nl,-0.2473163,-0.10296236
8FRoTJY7AJ,0.20667976,-0.0056934245
W6wlbsJ9va,0.28901097,0.07149525
T4kq3EU1OR,-0.14027692,-0.035619836
TnCLnIFHOB,-0.013523983,0.036953766
YANWxwyYjd,-0.15654148,-0.08847815
NFAR0C8nAo,0.008594878,-0.09932059
3eVwWZqQv3,-0.26269543,-0.10956672
dYDgzbqzWF,-0.05449972,-0.023349706
hSZFRKDHx3,-0.15490742,0.16512045
gSU725RgS5,0.012790488,-0.09900513
TECCDCGbEq,0.013316572,-0.052708723
gBXyo6K53y,-0.030796308,0.0029570498
l6p7702f0M,0.012794092,0.04907843
csuqpSGW8u,-0.019276999,-0.039563283
KJPmW3yM4o,0.1053292,0.023661423
G3o1oxs0cl,-0.058504555,0.03630693
kYV0V8GeuN,0.039222006,-0.16743775
bowpehJ5mp,-0.3172396,-0.06692685
Gz49j3oM8G,0.051692832,-0.0677257
addvmih6vA,0.010151678,-0.07617211
JooKekRwFt,0.008414836,-0.020966968
DG86MH9KRA,0.0052958373,-0.0032425672
EEuoyk5Gp7,-0.0066825356,-0.019979507
n2HBelsJbj,0.28206384,0.2720305
RRjxAHvIsK,0.00075528026,-0.07797454
V1Fimfi0XW,0.0044010654,-0.121754825
ExLg5CHcnm,-0.0046367804,-0.022757966
5ND0RHScgk,-0.0738789,-0.25787622
vkIwzNuAhU,-0.012534582,0.0028694868
780Njpf1be,-0.07564716,0.18665825
ZRiGMbw0Y9,-0.009298783,0.0520924
uCv85mmNWo,-0.0010200585,-0.121119305
xPVSAZT3gi,-0.0046777828,-0.00094975904
xUB2Txg4In,0.034836017,0.08826493
UZoaAdlrfY,-0.0012609819,0.057457093
QYf4XhmXhi,-0.043882094,-0.074772716
Vcezuycn2E,0.13864331,-0.0074222945
zXZsPT7xUj,-0.07640989,-0.111757115
F5CCIZAZQ3,-0.18311185,-0.0254499
Riq4rbLmmm,-0.143457,-0.057305157
evCmarQMyl,0.02944155,0.028393198
hEDRc9lav5,0.0015168646,0.03744818
g6OoL0dlzB,-0.055249657,-0.05262369
jG51cU7oBL,-0.055181447,0.01094871
tafLw4tBL7,-0.09401718,0.027438812
jTZ7BgZyfz,0.030749716,0.0008614324
1ua5vRfbj5,0.038909942,-0.026052222
Mol0a62X5d,0.008907238,-0.0821027
FWD799lNWS,0.1739776,-0.050729226
UjuoMIBfjK,-0.13029172,-0.11528614
OSLQtw07Bb,-0.026291972,-0.026480284
7t9KUOLINK,0.00823898,0.053996738
feGyFYU1sY,-0.00080100563,-0.06612219
BRf9iViYOu,-0.06588235,-0.09140918
GDeF4aKa2e,-0.12621336,-0.042943165
GXnKahR2fA,0.04514167,-0.03385088
6maWCsOYYy,-0.13662283,-0.014531869
ybiujYQ7nK,-0.032129064,-0.062741034
J7qzuTaRO8,-0.0606698,-0.1587396
Zg2RzwbiJr,0.008090286,0.09710169
dARjxTtQTk,-0.00561528,-0.043463483
Dk7AjsFZGP,-0.078428194,-0.036974862
Rv9ESbHyof,-0.058165036,0.017318733
O3skhHMqHK,0.0046246555,-0.1698247
S43u8lhHDB,0.08018507,-0.067775354
0lmqQaPkwF,0.011161542,-0.16257563
4nxjqaYjjh,-0.0044923085,-0.1241802
zIy8yy9Ruh,-0.10843171,-0.10813965
6JTII7DOjF,0.076387584,0.00021645613
23j7j6IzOa,-0.007691945,-0.084105045
pe99PpqHUn,-0.1465905,-0.025656428
ZyAfkkEImv,0.079000026,-0.12921245
CNjTmfRhRq,0.0045276983,-0.19410542
gWp0lhEIez,0.35839295,0.3137538
tn4JGQGVIO,-0.010155931,-0.11636534
9zOdLbARPX,0.16814055,-0.01301115
